EvseId,Created,ExternalId,DurationSeconds,VolumeKwh,TariffCode,WholesaleCost
NULL,2016-05-20 13:51:12.6433333,GFX-20160520050533.049,31537,8.0500,A2,2.4200
NL-GFX-ENL-GFX-RD00265-1,2022-10-10 11:54:06.9850000,NLGFX638009803575840225-12db4,19288,22.3200,A2,6.7000
NL-GFX-ENL-GFX-RD00265-2,2022-09-14 15:41:06.0560000,NLGFX637987329489751452-23b0f,33917,6.0400,A2,1.8100
NULL,2016-04-04 08:49:46.6500000,916805,33529,7.6000,A2,2.2800
NULL,2016-03-03 18:30:19.4800000,828755,35074,8.4800,A2,2.5400
NL-GFX-ENL-GFX-RD00298-2,2022-04-14 14:41:55.6320163,NLGFX637855163138350583-85f86,27801,5.3700,A2,1.6100
NL-GFX-EJLZ-J0034-1,2022-08-22 14:05:38.1170000,NLGFX637967555998087649-3984c,18339,2.8800,A2,0.8600
NL-GFX-ENL-GFX-RD00298-1,2022-10-24 14:21:53.2320000,NLGFX638021858106198911-91a5b,32302,15.8600,A2,4.7600
NL-GFX-EJLZ-J0034-2,2022-04-29 12:05:09.1721349,NLGFX637868110622048464-4aebf,19648,27.6300,A2,8.2900
NULL,2016-05-20 15:37:03.6900000,GFX-20160520135838.150,5906,3.9100,A2,1.1700
NL-GFX-ENL-GFX-RD00265-1,2022-06-01 08:37:22.7440000,NLGFX637896613879078270-e6669,8054,2.3500,A2,0.7100
NL-GFX-ENL-GFX-RD00265-2,2022-10-10 11:15:47.6850000,NLGFX638009763296295805-b1862,21018,9.0100,A2,2.7000
NULL,2016-06-14 15:28:22.3833333,GFX-20160614053844.411,35378,7.9100,A2,2.3700
NL-GFX-ENL_GFX_A0017-1,2022-07-20 14:19:14.1090000,NLGFX637938903946406931-17204,33170,11.8900,A2,3.5700
NL-GFX-EJLZ-J0034-2,2022-04-20 14:53:48.2106923,NLGFX637860317101743713-2c571,31517,20.5600,A2,6.1700
NL-GFX-ENL_GFX_A0017-1,2022-10-31 15:08:27.0670000,NLGFX638028255244198781-acb15,186,0.3600,A2,0.1100
NL-GFX-ENL-GFX-RD00274-1,2022-08-22 15:28:13.4040000,NLGFX637967437754019746-e8594,35119,0.0200,A2,0.0100
NL-GFX-ENL-GFX-RD00298-2,2022-11-10 15:09:13.8590000,NLGFX638036581803697075-733e0,31573,28.5000,A2,8.5500
NL-GFX-ENL-GFX-RD00272-2,2022-09-15 07:35:01.9300000,NLGFX637988217901608119-b6cd4,2312,0.8900,A2,0.2700
NULL,2016-05-25 15:27:45.3400000,GFX-20160525053409.515,35613,5.3500,A2,1.6000
NULL,2016-01-04 19:47:56.9166667,1512706733,26235,1.9801,A2,0.6000
NULL,2016-07-11 15:05:16.4166667,GFX-20160711062626.865,31135,7.0300,A2,2.1100
NL-GFX-ENL-GFX-RD00275-1,2022-05-12 14:15:51.2070000,NLGFX637879346818428613-99327,27068,19.1500,A2,5.7500
NL-GFX-ENL_GFX_A0017-1,2022-11-02 18:35:45.1470000,NLGFX638030020423666256-4b6fe,8905,28.0400,A2,8.4100
NL-GFX-ENL-GFX-RD00265-2,2022-09-05 16:05:03.3990000,NLGFX637979534950173747-e2998,37209,19.3100,A2,5.7900
